memory_score,subj_idx,image,emotional,trialnr_enc,emotion_score,rt_emotion,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
NaN,10,190,1,137,0,1250.34469528555,0.747728436389161,-1.88204336348042,0,0,1,0,1172.6659806277,NaN,NaN,0.921103343688088,1.76639600340977
NaN,10,191,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1811.36404171161,NaN,NaN,0.247592138158327,-1.46985338219245
4,10,192,1,59,0,2258.9400193043,0.0904018765018656,-0.358271397230879,0,0,1,1,1462.57536700341,4,436.963417090737,1.22436052720548,-0.876505138219891
4,10,193,0,92,0,1731.80621612801,-0.793747706269246,-0.16281741218976,0,0,1,1,1127.76431219254,4,334.85211451034,1.21600965583198,-0.442773212869253
3,10,194,0,145,0,1539.75143443949,0.128847705232396,-0.56066142527028,0,0,1,1,1443.14161875309,3,743.201091161609,-0.305796920907315,0.686570245073593
NaN,10,195,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,2727.85794730225,4,383.003914785604,0.927431327113752,-0.490526607132455
NaN,10,196,0,19,0,1225.28186739191,0.253638089122574,0.559455191209527,0,0,1,0,2662.64484771318,NaN,NaN,0.0368710796260269,0.281223611248763
NaN,10,197,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,900.230704186697,NaN,NaN,-0.103024528997133,-1.13792038330626
4,10,198,1,66,2,2821.8459499185,0.141994039978076,0.631629306540353,1,1,1,1,14010.5209064441,4,581.791883780625,1.25514480102494,0.645038305919737
4,10,199,0,80,0,2227.22300389523,-1.14883013282348,0.1580056532106,0,0,1,1,1244.53083724757,4,795.069435801224,-0.679341029602321,-0.329151507412329
4,10,200,1,24,3,2052.38598429514,-0.999161333422635,0.862459392715364,0,0,1,1,2022.18731434937,4,482.574006900677,-0.739565764564794,0.0528936470260665
3,10,201,0,126,0,2128.77873610228,-0.302117570813377,-1.92825284396771,0,0,1,1,1886.75382015572,3,531.629762122975,1.28386567011653,-1.12861714330466
NaN,10,202,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1061.64825181941,NaN,NaN,0.886814426149891,-0.919040329620021
4,10,203,1,15,3,1744.87191578726,-0.2430984257995,2.03227411880305,1,1,1,1,1129.21038348486,4,337.351302940078,-0.411627014379654,0.902494698394714
2,10,204,0,41,0,1112.16856160854,0.852916110080021,0.226115538695345,0,0,1,1,2771.53549161903,2,481.416636620452,-1.26307183180991,0.546381238897672
