Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,hit_rate,filter_$
208, , , , ,0,0,1,0,1,2,2496.831636,1,697.8865599, ,-.47878970344524,-.615612739170334,.454439602726718,.604160329036898,1,0
209, , , , ,0,0,0,0,1,2,2274.445031,3,1161.642686, ,-1.17155629288437,-1.07871337221364,1.86779382129322,1.969698827186, ,0
210, , , , ,0,0,0,0,0,0,2388.423363, , ,0,-1.08840465543023,-1.20436138670262,1.5413013236472,1.58828004402832, ,0
211, , , , ,0,0,0,0,1,2,3092.019201,2,649.0808634, ,-.737176709232097,-.707491587616545,1.19222490084986,1.05021479296135, ,0
212, , , , ,0,0,0,0,1,2,2010.040476,3,1369.022468, ,.537975456725312,.476306323473669,.266400680975799,.562620439447645, ,0
213, , , , ,0,0,0,0,0,0,1528.544785, , ,0,.238419330658109,.194030622936872,.744915059395432,.792004089742947, ,0
214, , , , ,0,0,0,0,0,0,1107.411283, , ,0,.580903543074025,.391419139377754,-1.00611369579773,-.81896118328439, ,0
215,-.587148264072609,-.5112439800684,1.24769961760769,1.34643391810624,0,0,0,1,1,1,1186.612677,4,334.312253,4,.262697926944859,.143274427355593,.0206294346094917,.135529912398371,1,0
216, , , , ,0,1,1,0,0,0,1578.307375, , ,0,.669509502580436,.859067156005779,.235643945962831,.0488000879920325,1,0
217,.647590478559066,.614816197185021,.262078534920666,.345531105855807,0,0,0,1,1,1,1452.348798,3,391.3527441,3,-.00589533380020797,-.10043737730365,1.02724886379096,1.1874422907152,1,0
219,.243454092199279,.340146143808201,-1.17017948894242,-1.20939614488767,0,1,1,1,1,1,1129.960332,4,344.3822413,4,.0153276033756573,-.0739292633846407,.943826046901958,1.07349607442368,1,0
220,.831760776262361,.868755096739929,.335009082130566,.237111590933054,0,0,0,1,0,3,3723.329704, , , ,.293534794938751,.266740331029648,-.0971833937846884,-.0554215478826906,0,0
221, , , , ,0,0,0,0,0,0,1993.279297, , ,0,.799538368231489,.815398551968111,-1.72337401500887,-1.70950919874499, ,0
222,.310947807231254,.377682320088968,.529680761780561,.64860926842806,0,0,0,1,0,3,2697.552626, , , ,-3.53096844274632,-3.22630942486945,1.57220406950185,1.33790823930082,0,0
223, , , , ,0,0,0,0,0,0,1737.342745, , ,0,.0453693636505775,-.0117358454975019,-.135997170070394,-.0385771673581835, ,0
224,.50563604912387,.587567753189527,-.103613757890724,-.22009516381534,0,0,0,1,0,3,2268.400857, , , ,-.547379009961002,-.689494062886315,.472715886657253,.551068463737854,0,0
225,-.208775366235349,-.340284626484585,.748369533481091,.70541591318552,0,0,0,1,0,3,3933.407904, , , ,-.112590842380101,-.171783072109607,.458754716612515,.494678064507425,0,0
226,-.765449087015716,-.792441760448656,1.47232172071496,1.38038398395447,0,1,1,1,1,1,1232.112715,4,1107.921647,4,.253582376131141,.191310823129002,.833489908450423,.721339897108914,1,0
227,-.0906731425241451,-.0532616040697555,.471921596861904,.309528123422409,0,0,0,1,0,3,5903.111649, , , ,-.975638130804274,-.986803324146306,1.35280856640195,1.34881953699708,0,0
228,-.93012249672975,-1.0319286326063,1.69802662643984,1.72661576991383,0,0,0,1,1,1,989.8883101,4,343.8372327,4,-1.03175403178325,-.972240862179925,2.15432635820401,2.40852196399886,1,0
229,-.884612214379293,-.743954524643812,.408488134011111,.461572959358257,0,0,0,1,1,1,1250.141625,4,537.9231676,4,.147962393566412,-.0460149157959932,.96108329712591,1.36834786104846,1,0
230,-.0157972679058749,-.0771438957837148,.936477780405054,.981744402367961,0,0,0,1,0,3,3063.430468, , , ,-.0777022623224188,-.0487368887118026,.726647002322674,.741869558254267,0,0
231,.198439204928127,.149334213447981,.431110683067909,.594885644437825,0,0,0,1,1,1,1238.517128,3,395.0103003,3,.128534388026234,.0315176949237847,.385298981302189,.454202221698387,1,0
232,.26276511502134,.333973085917544,.0900673346626383,.0363600390916489,0,0,0,1,0,3,2892.291994, , , ,.302012864320682,.31584589590913,-.387964675618251,-.312090741462242,0,0
233,.0732583400620791,.0555371941434545,-.806444178450869,-.737072413740164,0,1,0,1,1,1,1088.633026,4,344.2436634,4,-.931195625390163,-.864991310835958,1.11020983188754,1.11210894284087,1,0
234,-.208766349014366,-.232191870655927,.254399543141607,.182906463343569,0,0,0,1,0,3,1702.655626, , , ,-1.53810698487282,-1.57375310397095,1.56961843362441,1.68669513548958,0,0
235,-.669735518855508,-.637234094232428,-.549541835082578,-.497243061849978,0,0,0,1,1,1,1408.557245,3,598.3498333,3,1.08116224155306,.910479940628679,-.106279335586605,.0257885823581497,1,0
236,.149219900355017,.0765353634018479,-.270090427776417,-.147799007995138,0,1,0,1,1,1,2007.476466,3,848.0612899,3,.332479235120413,.274678849553441,1.03808996050629,.932180106915269,1,0
237,-.105845076890144,-.307378792928646,.80826872417138,.859700037668221,0,1,1,1,1,1,948.6322177,4,398.9677877,4,-.0318305616249756,-.0425140389059868,.471321642051748,.460918832672383,1,0
238,.426431724408897,.37936068788544,-.226060073816662,-.262524879267043,0,0,0,1,0,3,2811.683329, , , ,.0608661394206404,.170585892713115,.138154915561483,-.153127585267793,0,0
239,.02737700213526,.0578997366809729,.901260903532411,1.03359096335511,0,1,1,1,1,1,982.5250803,4,341.3745893,4,-.733787555509419,-.77409688028619,.462427823909957,.459761652694775,1,0
240,-.0279280064767066,-.0471107800271593,.202663669503074,.292907185152823,0,0,0,1,1,1,1595.281874,3,808.8508242,3,.540906061248905,.224590263775475,.399858106921327,.68925054350313,1,0
